Size,Cycles
1,130
2,240
3,350
4,460
5,570
6,680
7,790
8,900
9,1010
10,1120
11,1230
12,1340
13,1450
14,1560
15,1670
16,1780
17,1890
18,2000
19,2110
20,2220
21,2330
22,2440
23,2550
24,2660
25,2770
26,2880
27,2990
28,3100
29,3210
30,3320
31,3430
32,3540
33,3650
34,3760
35,3870
36,3980
37,4090
38,4200
39,4310
40,4420
41,4530
42,4640
43,4750
44,4860
45,4970
46,5080
47,5190
48,5300
49,5410
50,5520
51,5630
52,5740
53,5850
54,5960
55,6070
56,6180
57,6290
58,6400
59,6510
60,6620
61,6730
62,6840
63,6950
64,7060
65,7170
66,7280
67,7390
68,7500
69,7610
70,7720
71,7830
72,7940
73,8050
74,8160
75,8270
76,8380
77,8490
78,8600
79,8710
80,8820
81,8930
82,9040
83,9150
84,9260
85,9370
86,9480
87,9590
88,9700
89,9810
90,9920
91,10030
92,10140
93,10250
94,10360
95,10470
96,10580
97,10690
98,10800
99,10910
100,11020
101,11130
102,11240
103,11350
104,11460
105,11570
106,11680
107,11790
108,11900
109,12010
110,12120
111,12230
112,12340
113,12450
114,12560
115,12670
116,12780
117,12890
118,13000
119,13110
120,13220
121,13330
122,13440
123,13550
124,13660
125,13770
126,13880
127,13990
128,14100
