Size,Cycles
1,170
2,260
3,360
4,380
5,480
6,510
7,610
8,560
9,660
10,690
11,790
12,750
13,850
14,940
15,1040
16,920
17,1020
18,1050
19,1150
20,1110
21,1210
22,1240
23,1340
24,1230
25,1330
26,1420
27,1520
28,1540
29,1640
30,1670
31,1770
32,1580
33,1680
34,1710
35,1810
36,1770
37,1870
38,1960
39,2060
40,1950
41,2050
42,2080
43,2180
44,2140
45,2240
46,2270
47,2370
48,2190
49,2290
50,2380
51,2480
52,2500
53,2600
54,2630
55,2730
56,2680
57,2780
58,2810
59,2910
60,2870
61,2970
62,3060
63,3160
64,2900
65,3000
66,3030
67,3130
68,3090
69,3190
70,3220
71,3320
72,3210
73,3310
74,3400
75,3500
76,3520
77,3620
78,3650
79,3750
80,3570
81,3670
82,3700
83,3800
84,3760
85,3860
86,3950
87,4050
88,3940
89,4040
90,4070
91,4170
92,4130
93,4230
94,4260
95,4360
96,4110
97,4210
98,4300
99,4400
100,4420
101,4520
102,4550
103,4650
104,4600
105,4700
106,4730
107,4830
108,4790
109,4890
110,4980
111,5080
112,4960
113,5060
114,5090
115,5190
116,5150
117,5250
118,5280
119,5380
120,5270
121,5370
122,5460
123,5560
124,5580
125,5680
126,5710
127,5810
128,5480
